Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
2016-12-01,110.370003,110.940002,109.029999,109.489998,104.90583,37086900,556484672900,-
2016-12-02,109.169998,110.089996,108.849998,109.900002,105.298676,26528000,556511200900,+
2016-12-05,110.0,110.029999,108.25,109.110001,104.541748,34324500,556545525400,-
2016-12-06,109.5,110.360001,109.190002,109.949997,105.346558,26195500,556571720900,+
2016-12-07,109.260002,111.190002,109.160004,111.029999,106.381355,29998700,556601719600,+
2016-12-08,110.860001,112.43,110.599998,112.120003,107.42572,27068300,556628787900,+
2016-12-09,112.309998,114.699997,112.309998,113.949997,109.179115,34402600,556663190500,+
2016-12-12,113.290001,115.0,112.489998,113.300003,108.556305,26374400,556689564900,+
2016-12-13,113.839996,115.919998,113.75,115.190002,110.367195,43733800,556733298700,+
2016-12-14,115.040001,116.199997,114.980003,115.190002,110.367195,34031800,556767330500,+
2016-12-15,115.379997,116.730003,115.230003,115.82,110.97081,46524500,556813855000,+
2016-12-16,116.470001,116.5,115.650002,115.970001,111.114532,44351100,556858206100,-
2016-12-19,115.800003,117.379997,115.75,116.639999,111.75647,27779400,556885985500,+
2016-12-20,116.739998,117.5,116.68,116.949997,112.05349,21425000,556907410500,+
2016-12-21,116.800003,117.400002,116.779999,117.059998,112.15889,23783200,556931193700,+
2016-12-22,116.349998,116.510002,115.639999,116.290001,111.421135,26085900,556957279600,-
2016-12-23,115.589996,116.519997,115.589996,116.519997,111.641487,14249500,556971529100,+
2016-12-27,116.519997,117.800003,116.489998,117.260002,112.350517,18296900,556989826000,+
2016-12-28,117.519997,118.019997,116.199997,116.760002,111.871452,20905900,557010731900,-
2016-12-29,116.449997,117.110001,116.400002,116.730003,111.842705,15039500,557025771400,+
2016-12-30,116.650002,117.199997,115.43,115.82,110.97081,30586300,557056357700,-
2017-01-03,115.800003,116.330002,114.760002,116.150002,111.286987,28781900,557085139600,+
2017-01-04,115.849998,116.510002,115.75,116.019997,111.162437,21118100,557106257700,+
2017-01-05,115.919998,116.860001,115.809998,116.610001,111.727715,22193600,557128451300,+
